name,id,numberDocks,latitude,longitude,nbhd,district,cluster,sline
PERONYFRANCISCOACUNADEFIGUEROA,213,20.0,-34.6059524833,-58.4225720421,ALMAGRO,5,2,0
PENA,33,20.0,-34.5903936115,-58.397378365,RECOLETA,2,1,0
PIEDRAS,37,14.0,-34.6079143637,-58.3778640062,SAN NICOLAS,1,0,0
PINZON,159,20.0,-34.6340720907,-58.3609331462,BOCA,4,3,0
PLANETARIO,205,14.0,-34.5680738914,-58.412158544499995,PALERMO,14,0,1
PLAZAALEMANIA,202,20.0,-34.5778491088,-58.4079655595,PALERMO,14,1,0
PLAZAALMAGRO,17,20.0,-34.606398525100005,-58.4188322144,ALMAGRO,5,2,0
PLAZABOEDO,28,20.0,-34.622850251100004,-58.412398197899996,BOEDO,5,3,0
PLAZAGARAY,218,20.0,-34.6270491371,-58.3874538315,CONSTITUCION,1,3,0
PLAZAGUEMES,25,21.0,-34.5895207285,-58.4160650218,PALERMO,14,2,0
PLAZAITALIA,6,28.0,-34.580127344299996,-58.420997041099994,PALERMO,14,3,0
PLAZALIBERTAD,38,20.0,-34.59699018,-58.382895384499996,RETIRO,1,2,0
PLAZAMONSENORMIGUELDEANDREA,199,12.0,-34.597763577100004,-58.4078516634,RECOLETA,2,3,0
PLAZAPALERMOVIEJO,73,16.0,-34.5893711824,-58.4250724295,PALERMO,14,3,0
PLAZAPRIMERODEMAYO,126,20.0,-34.6121235856,-58.3989047029,BALVANERA,3,2,0
PLAZAROMA,4,20.0,-34.601721087600005,-58.36895038340001,SAN NICOLAS,1,0,0
PLAZASANMARTIN,19,28.0,-34.595404795,-58.3775489313,RETIRO,1,0,1
PLAZAVICENTELOPEZ,12,16.0,-34.5931772799,-58.3889488675,RECOLETA,2,0,0
POSADAS,216,19.0,-34.5884746946,-58.3855860205,RECOLETA,2,3,0
PUEYRREDON,151,20.0,-34.6017797128,-58.4057904125,BALVANERA,3,2,0
QUINTANA,105,16.0,-34.587812049899995,-58.390786283900006,RECOLETA,2,1,0
QUINTINOBOCAYUVA,220,20.0,-34.613596262600005,-58.42348085850001,ALMAGRO,5,2,0
RAVIGNANI,166,20.0,-34.5804694654,-58.437836612,PALERMO,14,3,1
RAVIGNANIYGUATEMALA,177,20.0,-34.5781909513,-58.435233608199994,PALERMO,14,2,0
RECONQUISTA,99,20.0,-34.5994692497,-58.3727235163,SAN NICOLAS,1,0,0
RETIRO,2,20.0,-34.5925888098,-58.374821787799995,RETIRO,1,1,0
RETIROII,180,20.0,-34.5919408627,-58.3742850966,RETIRO,1,1,0
RETIROIII,181,20.0,-34.5918464928,-58.3742100283,RETIRO,1,1,0
RICARDOROJAS,48,20.0,-34.5958814445,-58.374282295600004,RETIRO,1,0,0
RINCON,123,20.0,-34.6151962005,-58.3958974659,BALVANERA,3,2,0
RIOBAMBA,63,20.0,-34.5941490349,-58.3944396826,RECOLETA,2,1,1
RIVADAVIAY9DEJULIO,164,16.0,-34.608231786,-58.3809122747,SAN NICOLAS,1,0,1
RIVAROLA,75,20.0,-34.6066473499,-58.3853975746,SAN NICOLAS,1,2,0
ROSETI,225,20.0,-34.5864398919,-58.44598674979999,CHACARITA,15,2,1
RUYDIAZDEGUZMAN,163,16.0,-34.6308122094,-58.3717059086,BARRACAS,4,3,0
SAAVEDRA,117,19.0,-34.6213560814,-58.4017203693,SAN CRISTOBAL,3,2,0
SALCEDO,124,20.0,-34.6317246877,-58.40501915,PARQUE PATRICIOS,4,2,1
SANLUISYECUADOR,198,20.0,-34.5997327041,-58.4059662232,BALVANERA,3,2,0
SANTOSDUMONTYOTERO,189,20.0,-34.5922124775,-58.4529268261,CHACARITA,15,2,0
SARANDI,125,20.0,-34.6112703094,-58.3948309043,BALVANERA,3,2,1
SARMIENTO,43,20.0,-34.6043980605,-58.3733711007,SAN NICOLAS,1,0,0
SENILLOSA,111,20.0,-34.6385009159,-58.42547747060001,PARQUE CHACABUCO,7,2,1
SENILLOSAYZUVIRIA,195,20.0,-34.6283092127,-58.4279521832,PARQUE CHACABUCO,7,2,0
SOLISYALSINA,188,20.0,-34.61183795260001,-58.3904105537,MONSERRAT,1,2,1
SUIPACHA,23,14.0,-34.6002957825,-58.3795661232,SAN NICOLAS,1,0,0
SUIPACHAYARROYO,67,20.0,-34.591415687,-58.380338244200004,RETIRO,1,0,0
SANCHEZDEBUSTAMANTE,70,20.0,-34.6070890122,-58.4146677522,ALMAGRO,5,2,0
TALCAHUANO,211,20.0,-34.597798804600004,-58.3856151033,RETIRO,1,0,1
TREINTAYTRESORIENTALES,115,20.0,-34.628817365799996,-58.4224224038,BOEDO,5,3,0
TRIBUNALES,11,20.0,-34.6013128135,-58.385021610699994,SAN NICOLAS,1,0,0
TUCUMAN,45,14.0,-34.6015861696,-58.3824487653,SAN NICOLAS,1,0,0
UGARTECHE,156,20.0,-34.5810816067,-58.4123135603,PALERMO,14,1,0
URQUIZA,40,20.0,-34.636519409899996,-58.4075919836,PARQUE PATRICIOS,4,1,0
URUGUAY,134,19.0,-34.601616028,-58.3869126629,SAN NICOLAS,1,0,1
USINADELARTE,129,28.0,-34.6287807815,-58.3562574145,BOCA,4,0,0
VELASCO,153,20.0,-34.6001646649,-58.434954874700004,VILLA CRESPO,15,2,0
VENEZUELA,98,21.0,-34.6136503935,-58.374552501400004,MONSERRAT,1,3,1
VERAPENALOZA,121,28.0,-34.618082021199996,-58.3630905092,PUERTO MADERO,1,1,0
VILLARROEL,169,20.0,-34.5928392138,-58.4450986554,VILLA CRESPO,15,2,0
VIRREYCEVALLOS,208,20.0,-34.6156376342,-58.3896919074,MONSERRAT,1,2,0
VIRREYLINIERS,157,20.0,-34.6333089848,-58.413150468699996,BOEDO,5,2,0
YATAY,108,20.0,-34.6008183887,-58.428267593,ALMAGRO,5,2,0
ZOOLOGICO,44,20.0,-34.5754853234,-58.4145948778,PALERMO,14,1,0
